COUNTRY,PORT,"COORDS (long, lat)",SHIPS
UAE,RUWAIS,"52.732109, 24.158875",1
ARGENTINA,PUERTO ROSALES,"-62.070503, -38.924",1
BRUNEI,MUARA,"115.07613, 5.022632",4
BRUNEI,SERIA TERMINAL ANCH,"114.40181, 4.782757",1
CHINA,HUIZHOU,"114.62845, 22.673817",2
CHINA,JIANGYIN,"119.29856, 25.431063",1
INDIA,SIKKA,"69.817986, 22.460398",5
JAPAN,SAKAI,"135.41357, 34.532719",1
JAPAN,YOKOHAMA,"139.66394, 35.412148",1
JAPAN,YOKKAICHI,"136.6555, 34.961502",1
KOREA,ONSAN,"129.36333, 35.437519",3
KOREA,DAESAN,"126.3826, 37.015301",2
KOREA,YEOSU,"127.67079, 34.740623",5
KOREA,ULSAN,"129.38275, 35.511063",1
MALAYSIA,PASIR GUDANG,"103.91187, 1.432973",1
MALAYSIA,DULANG OIL FIELD,"104.13611, 5.843641",1
MALAYSIA,SUNGAI UDANG,"102.12788, 2.245725",1
MALAYSIA,TANJUNG LANGSAT,"104.01044, 1.441632",1
MALAYSIA,FPSO KIKEH,"114.29488, 5.873869",1
MALAYSIA,MIRI,"113.98367, 4.410943",1
MALAYSIA,PENGERANG,"104.1722, 1.32957",1
PNG,PORT MORSEBY,"147.1239, -9.447374",1
SINGAPORE,SINGAPORE,"103.75445, 1.259366",14
TAIWAN,MAILIAO,"120.18581, 23.788485",3
TAIWAN,KAOHSIUNG,"120.31815, 22.584251",3
US,NEW ORLEANS,"-90.145889, 29.956688",1
US,CORPUS CHRISTI,"-97.467926, 27.827538",1
VIETNAM,SU TU DEN,"108.40031, 10.425499",1
VIETNAM,VIETSOVPETRO 01,"107.95048, 9.733314",1
SOUTH AFRICA,CAPE TOWN,"18.4356, -33.9095",1